Application_number,Datum,Popis
2013-28382,21.12.2015,podání žádosti o úplný průzkum
2013-28382,28.06.2017,zveřejnění PV
2013-28382,18.04.2018,publikace udělení patentu
2013-28382,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28384,21.12.2015,podání přihlášky
2013-28384,21.12.2015,podání žádosti o úplný průzkum
2013-28384,28.06.2017,zveřejnění PV
2013-28384,18.04.2018,publikace udělení patentu
2013-28384,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28469,21.12.2015,podání přihlášky
2013-28469,21.12.2015,podání žádosti o úplný průzkum
2013-28469,28.06.2017,zveřejnění PV
2013-28469,18.04.2018,publikace udělení patentu
2013-28469,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28499,21.12.2015,podání přihlášky
2013-28499,21.12.2015,podání žádosti o úplný průzkum
2013-28499,28.06.2017,zveřejnění PV
2013-28499,18.04.2018,publikace udělení patentu
2013-28499,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28501,21.12.2015,podání přihlášky
2013-28501,21.12.2015,podání žádosti o úplný průzkum
2013-28501,28.06.2017,zveřejnění PV
2013-28501,18.04.2018,publikace udělení patentu
2013-28501,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29067,21.12.2015,podání přihlášky
2014-29067,21.12.2015,podání žádosti o úplný průzkum
2014-29067,28.06.2017,zveřejnění PV
2014-29067,18.04.2018,publikace udělení patentu
2014-29067,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29069,21.12.2015,podání přihlášky
2014-29069,21.12.2015,podání žádosti o úplný průzkum
2014-29069,28.06.2017,zveřejnění PV
2014-29069,18.04.2018,publikace udělení patentu
2014-29069,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29073,21.12.2015,podání přihlášky
2014-29073,21.12.2015,podání žádosti o úplný průzkum
2014-29073,28.06.2017,zveřejnění PV
2014-29073,18.04.2018,publikace udělení patentu
2014-29073,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29075,21.12.2015,podání přihlášky
2014-29075,21.12.2015,podání žádosti o úplný průzkum
2014-29075,28.06.2017,zveřejnění PV
2014-29075,18.04.2018,publikace udělení patentu
2014-29075,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29087,21.12.2015,podání přihlášky
2014-29087,21.12.2015,podání žádosti o úplný průzkum
2014-29087,28.06.2017,zveřejnění PV
2014-29087,18.04.2018,publikace udělení patentu
2014-29087,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29089,21.12.2015,podání přihlášky
2014-29089,21.12.2015,podání žádosti o úplný průzkum
2014-29089,28.06.2017,zveřejnění PV
2014-29089,18.04.2018,publikace udělení patentu
2014-29089,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29091,21.12.2015,podání přihlášky
2014-29091,21.12.2015,podání žádosti o úplný průzkum
2014-29091,28.06.2017,zveřejnění PV
2014-29091,18.04.2018,publikace udělení patentu
2014-29091,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29136,21.12.2015,podání přihlášky
2014-29136,21.12.2015,podání žádosti o úplný průzkum
2014-29136,28.06.2017,zveřejnění PV
2014-29136,18.04.2018,publikace udělení patentu
2014-29136,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29368,21.12.2015,podání přihlášky
2014-29368,21.12.2015,podání žádosti o úplný průzkum
2014-29368,28.06.2017,zveřejnění PV
2014-29368,18.04.2018,publikace udělení patentu
2014-29368,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29435,21.12.2015,podání přihlášky
2014-29435,21.12.2015,podání žádosti o úplný průzkum
2014-29435,28.06.2017,zveřejnění PV
2014-29435,18.04.2018,publikace udělení patentu
2014-29435,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29456,21.12.2015,podání přihlášky
2014-29456,21.12.2015,podání žádosti o úplný průzkum
2014-29456,28.06.2017,zveřejnění PV
2014-29456,18.04.2018,publikace udělení patentu
2014-29456,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29500,21.12.2015,podání přihlášky
2014-29500,21.12.2015,podání žádosti o úplný průzkum
2014-29500,28.06.2017,zveřejnění PV
2014-29500,18.04.2018,publikace udělení patentu
2014-29500,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29908,21.12.2015,podání přihlášky
2014-29908,21.12.2015,podání žádosti o úplný průzkum
2014-29908,28.06.2017,zveřejnění PV
2014-29908,18.04.2018,publikace udělení patentu
2014-29908,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30196,21.12.2015,podání přihlášky
2014-30196,21.12.2015,podání žádosti o úplný průzkum
2014-30196,28.06.2017,zveřejnění PV
2014-30196,18.04.2018,publikace udělení patentu
2014-30196,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30273,21.12.2015,podání přihlášky
2014-30273,21.12.2015,podání žádosti o úplný průzkum
2014-30273,28.06.2017,zveřejnění PV
2014-30273,18.04.2018,publikace udělení patentu
2014-30273,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30439,21.12.2015,podání přihlášky
2014-30439,21.12.2015,podání žádosti o úplný průzkum
2014-30439,28.06.2017,zveřejnění PV
2014-30439,18.04.2018,publikace udělení patentu
2014-30439,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-30877,21.12.2015,podání přihlášky
2015-30877,21.12.2015,podání žádosti o úplný průzkum
2015-30877,28.06.2017,zveřejnění PV
2015-30877,18.04.2018,publikace udělení patentu
2015-30877,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31161,21.12.2015,podání přihlášky
2015-31161,21.12.2015,podání žádosti o úplný průzkum
2015-31161,28.06.2017,zveřejnění PV
2015-31161,18.04.2018,publikace udělení patentu
2015-31161,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31410,21.12.2015,podání přihlášky
2015-31410,21.12.2015,podání žádosti o úplný průzkum
2015-31410,28.06.2017,zveřejnění PV
2015-31410,18.04.2018,publikace udělení patentu
2015-31410,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31695,21.12.2015,podání přihlášky
2015-31695,21.12.2015,podání žádosti o úplný průzkum
2015-31695,28.06.2017,zveřejnění PV
2015-31695,18.04.2018,publikace udělení patentu
2015-31695,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31696,21.12.2015,podání přihlášky
2015-31696,21.12.2015,podání žádosti o úplný průzkum
2015-31696,28.06.2017,zveřejnění PV
2015-31696,18.04.2018,publikace udělení patentu
2015-31696,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31700,21.12.2015,podání přihlášky
2015-31700,21.12.2015,podání žádosti o úplný průzkum
2015-31700,28.06.2017,zveřejnění PV
2015-31700,18.04.2018,publikace udělení patentu
2015-31700,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-31992,21.12.2015,podání přihlášky
2016-31992,21.12.2015,podání žádosti o úplný průzkum
2016-31992,28.06.2017,zveřejnění PV
2016-31992,18.04.2018,publikace udělení patentu
2016-31992,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32005,21.12.2015,podání přihlášky
2016-32005,21.12.2015,podání žádosti o úplný průzkum
2016-32005,28.06.2017,zveřejnění PV
2016-32005,18.04.2018,publikace udělení patentu
2016-32005,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32010,21.12.2015,podání přihlášky
2016-32010,21.12.2015,podání žádosti o úplný průzkum
2016-32010,28.06.2017,zveřejnění PV
2016-32010,18.04.2018,publikace udělení patentu
2016-32010,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32137,21.12.2015,podání přihlášky
2016-32137,21.12.2015,podání žádosti o úplný průzkum
2016-32137,28.06.2017,zveřejnění PV
2016-32137,18.04.2018,publikace udělení patentu
2016-32137,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32475,21.12.2015,podání přihlášky
2016-32475,21.12.2015,podání žádosti o úplný průzkum
2016-32475,28.06.2017,zveřejnění PV
2016-32475,18.04.2018,publikace udělení patentu
2016-32475,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32720,21.12.2015,podání přihlášky
2016-32720,21.12.2015,podání žádosti o úplný průzkum
2016-32720,28.06.2017,zveřejnění PV
2016-32720,18.04.2018,publikace udělení patentu
2016-32720,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33269,21.12.2015,podání přihlášky
2017-33269,21.12.2015,podání žádosti o úplný průzkum
2017-33269,28.06.2017,zveřejnění PV
2017-33269,18.04.2018,publikace udělení patentu
2017-33269,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34395,21.12.2015,podání přihlášky
2017-34395,21.12.2015,podání žádosti o úplný průzkum
2017-34395,28.06.2017,zveřejnění PV
2017-34395,18.04.2018,publikace udělení patentu
2017-34395,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34400,21.12.2015,podání přihlášky
2017-34400,21.12.2015,podání žádosti o úplný průzkum
2017-34400,28.06.2017,zveřejnění PV
2017-34400,18.04.2018,publikace udělení patentu
2017-34400,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34594,21.12.2015,podání přihlášky
2018-34594,21.12.2015,podání žádosti o úplný průzkum
2018-34594,28.06.2017,zveřejnění PV
2018-34594,18.04.2018,publikace udělení patentu
2018-34594,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34758,21.12.2015,podání přihlášky
2018-34758,21.12.2015,podání žádosti o úplný průzkum
2018-34758,28.06.2017,zveřejnění PV
2018-34758,18.04.2018,publikace udělení patentu
2018-34758,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34930,21.12.2015,podání přihlášky
2018-34930,21.12.2015,podání žádosti o úplný průzkum
2018-34930,28.06.2017,zveřejnění PV
2018-34930,18.04.2018,publikace udělení patentu
2018-34930,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34935,21.12.2015,podání přihlášky
2018-34935,21.12.2015,podání žádosti o úplný průzkum
2018-34935,28.06.2017,zveřejnění PV
2018-34935,18.04.2018,publikace udělení patentu
2018-34935,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34947,21.12.2015,podání přihlášky
2018-34947,21.12.2015,podání žádosti o úplný průzkum
2018-34947,28.06.2017,zveřejnění PV
2018-34947,18.04.2018,publikace udělení patentu
2018-34947,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35037,21.12.2015,podání přihlášky
2018-35037,21.12.2015,podání žádosti o úplný průzkum
2018-35037,28.06.2017,zveřejnění PV
2018-35037,18.04.2018,publikace udělení patentu
2018-35037,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35197,21.12.2015,podání přihlášky
2018-35197,21.12.2015,podání žádosti o úplný průzkum
2018-35197,28.06.2017,zveřejnění PV
2018-35197,18.04.2018,publikace udělení patentu
2018-35197,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35518,21.12.2015,podání přihlášky
2018-35518,21.12.2015,podání žádosti o úplný průzkum
2018-35518,28.06.2017,zveřejnění PV
2018-35518,18.04.2018,publikace udělení patentu
2018-35518,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35522,21.12.2015,podání přihlášky
2018-35522,21.12.2015,podání žádosti o úplný průzkum
2018-35522,28.06.2017,zveřejnění PV
2018-35522,18.04.2018,publikace udělení patentu
2018-35522,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35523,21.12.2015,podání přihlášky
2018-35523,21.12.2015,podání žádosti o úplný průzkum
2018-35523,28.06.2017,zveřejnění PV
2018-35523,18.04.2018,publikace udělení patentu
2018-35523,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35589,21.12.2015,podání přihlášky
2018-35589,21.12.2015,podání žádosti o úplný průzkum
2018-35589,28.06.2017,zveřejnění PV
2018-35589,18.04.2018,publikace udělení patentu
2018-35589,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35713,21.12.2015,podání přihlášky
2018-35713,21.12.2015,podání žádosti o úplný průzkum
2018-35713,28.06.2017,zveřejnění PV
2018-35713,18.04.2018,publikace udělení patentu
2018-35713,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-35978,21.12.2015,podání přihlášky
2019-35978,21.12.2015,podání žádosti o úplný průzkum
2019-35978,28.06.2017,zveřejnění PV
2019-35978,18.04.2018,publikace udělení patentu
2019-35978,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36116,21.12.2015,podání přihlášky
2019-36116,21.12.2015,podání žádosti o úplný průzkum
2019-36116,28.06.2017,zveřejnění PV
2019-36116,18.04.2018,publikace udělení patentu
2019-36116,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36159,21.12.2015,podání přihlášky
2019-36159,21.12.2015,podání žádosti o úplný průzkum
2019-36159,28.06.2017,zveřejnění PV
2019-36159,18.04.2018,publikace udělení patentu
2019-36159,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36408,21.12.2015,podání přihlášky
2019-36408,21.12.2015,podání žádosti o úplný průzkum
2019-36408,28.06.2017,zveřejnění PV
2019-36408,18.04.2018,publikace udělení patentu
2019-36408,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36473,21.12.2015,podání přihlášky
2019-36473,21.12.2015,podání žádosti o úplný průzkum
2019-36473,28.06.2017,zveřejnění PV
2019-36473,18.04.2018,publikace udělení patentu
2019-36473,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36500,21.12.2015,podání přihlášky
2019-36500,21.12.2015,podání žádosti o úplný průzkum
2019-36500,28.06.2017,zveřejnění PV
2019-36500,18.04.2018,publikace udělení patentu
2019-36500,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37336,21.12.2015,podání přihlášky
2020-37336,21.12.2015,podání žádosti o úplný průzkum
2020-37336,28.06.2017,zveřejnění PV
2020-37336,18.04.2018,publikace udělení patentu
2020-37336,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38474,21.12.2015,podání přihlášky
2021-38474,21.12.2015,podání žádosti o úplný průzkum
2021-38474,28.06.2017,zveřejnění PV
2021-38474,18.04.2018,publikace udělení patentu
2021-38474,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38840,21.12.2015,podání přihlášky
2021-38840,21.12.2015,podání žádosti o úplný průzkum
2021-38840,28.06.2017,zveřejnění PV
2021-38840,18.04.2018,publikace udělení patentu
2021-38840,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38877,21.12.2015,podání přihlášky
2021-38877,21.12.2015,podání žádosti o úplný průzkum
2021-38877,28.06.2017,zveřejnění PV
2021-38877,18.04.2018,publikace udělení patentu
2021-38877,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38908,21.12.2015,podání přihlášky
2021-38908,21.12.2015,podání žádosti o úplný průzkum
2021-38908,28.06.2017,zveřejnění PV
2021-38908,18.04.2018,publikace udělení patentu
2021-38908,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38916,21.12.2015,podání přihlášky
2021-38916,21.12.2015,podání žádosti o úplný průzkum
2021-38916,28.06.2017,zveřejnění PV
2021-38916,18.04.2018,publikace udělení patentu
2021-38916,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38949,21.12.2015,podání přihlášky
2021-38949,21.12.2015,podání žádosti o úplný průzkum
2021-38949,28.06.2017,zveřejnění PV
2021-38949,18.04.2018,publikace udělení patentu
2021-38949,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38986,21.12.2015,podání přihlášky
2021-38986,21.12.2015,podání žádosti o úplný průzkum
2021-38986,28.06.2017,zveřejnění PV
2021-38986,18.04.2018,publikace udělení patentu
2021-38986,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39022,21.12.2015,podání přihlášky
2021-39022,21.12.2015,podání žádosti o úplný průzkum
2021-39022,28.06.2017,zveřejnění PV
2021-39022,18.04.2018,publikace udělení patentu
2021-39022,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39109,21.12.2015,podání přihlášky
2021-39109,21.12.2015,podání žádosti o úplný průzkum
2021-39109,28.06.2017,zveřejnění PV
2021-39109,18.04.2018,publikace udělení patentu
2021-39109,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39126,21.12.2015,podání přihlášky
2021-39126,21.12.2015,podání žádosti o úplný průzkum
2021-39126,28.06.2017,zveřejnění PV
2021-39126,18.04.2018,publikace udělení patentu
2021-39126,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39257,21.12.2015,podání přihlášky
2021-39257,21.12.2015,podání žádosti o úplný průzkum
2021-39257,28.06.2017,zveřejnění PV
2021-39257,18.04.2018,publikace udělení patentu
2021-39257,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39258,21.12.2015,podání přihlášky
2021-39258,21.12.2015,podání žádosti o úplný průzkum
2021-39258,28.06.2017,zveřejnění PV
2021-39258,18.04.2018,publikace udělení patentu
2021-39258,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-1015,21.12.2015,podání přihlášky
2013-1015,21.12.2015,podání žádosti o úplný průzkum
2013-1015,28.06.2017,zveřejnění PV
2013-1015,18.04.2018,publikace udělení patentu
2013-1015,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-1027,21.12.2015,podání přihlášky
2013-1027,21.12.2015,podání žádosti o úplný průzkum
2013-1027,28.06.2017,zveřejnění PV
2013-1027,18.04.2018,publikace udělení patentu
2013-1027,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-112,21.12.2015,podání přihlášky
2013-112,21.12.2015,podání žádosti o úplný průzkum
2013-112,28.06.2017,zveřejnění PV
2013-112,18.04.2018,publikace udělení patentu
2013-112,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-121,21.12.2015,podání přihlášky
2013-121,21.12.2015,podání žádosti o úplný průzkum
2013-121,28.06.2017,zveřejnění PV
2013-121,18.04.2018,publikace udělení patentu
2013-121,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-187,21.12.2015,podání přihlášky
2013-187,21.12.2015,podání žádosti o úplný průzkum
2013-187,28.06.2017,zveřejnění PV
2013-187,18.04.2018,publikace udělení patentu
2013-187,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-204,21.12.2015,podání přihlášky
2013-204,21.12.2015,podání žádosti o úplný průzkum
2013-204,28.06.2017,zveřejnění PV
2013-204,18.04.2018,publikace udělení patentu
2013-204,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-312,21.12.2015,podání přihlášky
2013-312,21.12.2015,podání žádosti o úplný průzkum
2013-312,28.06.2017,zveřejnění PV
2013-312,18.04.2018,publikace udělení patentu
2013-312,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-485,21.12.2015,podání přihlášky
2013-485,21.12.2015,podání žádosti o úplný průzkum
2013-485,28.06.2017,zveřejnění PV
2013-485,18.04.2018,publikace udělení patentu
2013-485,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-50,21.12.2015,podání přihlášky
2013-50,21.12.2015,podání žádosti o úplný průzkum
2013-50,28.06.2017,zveřejnění PV
2013-50,18.04.2018,publikace udělení patentu
2013-50,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-59,21.12.2015,podání přihlášky
2013-59,21.12.2015,podání žádosti o úplný průzkum
2013-59,28.06.2017,zveřejnění PV
2013-59,18.04.2018,publikace udělení patentu
2013-59,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-765,21.12.2015,podání přihlášky
2013-765,21.12.2015,podání žádosti o úplný průzkum
2013-765,28.06.2017,zveřejnění PV
2013-765,18.04.2018,publikace udělení patentu
2013-765,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-793,21.12.2015,podání přihlášky
2013-793,21.12.2015,podání žádosti o úplný průzkum
2013-793,28.06.2017,zveřejnění PV
2013-793,18.04.2018,publikace udělení patentu
2013-793,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-944,21.12.2015,podání přihlášky
2013-944,21.12.2015,podání žádosti o úplný průzkum
2013-944,28.06.2017,zveřejnění PV
2013-944,18.04.2018,publikace udělení patentu
2013-944,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-347,21.12.2015,podání přihlášky
2014-347,21.12.2015,podání žádosti o úplný průzkum
2014-347,28.06.2017,zveřejnění PV
2014-347,18.04.2018,publikace udělení patentu
2014-347,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-856,21.12.2015,podání přihlášky
2014-856,21.12.2015,podání žádosti o úplný průzkum
2014-856,28.06.2017,zveřejnění PV
2014-856,18.04.2018,publikace udělení patentu
2014-856,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-902,21.12.2015,podání přihlášky
2014-902,21.12.2015,podání žádosti o úplný průzkum
2014-902,28.06.2017,zveřejnění PV
2014-902,18.04.2018,publikace udělení patentu
2014-902,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-697,21.12.2015,podání přihlášky
2015-697,21.12.2015,podání žádosti o úplný průzkum
2015-697,28.06.2017,zveřejnění PV
2015-697,18.04.2018,publikace udělení patentu
2015-697,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-812,21.12.2015,podání přihlášky
2015-812,21.12.2015,podání žádosti o úplný průzkum
2015-812,28.06.2017,zveřejnění PV
2015-812,18.04.2018,publikace udělení patentu
2015-812,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-814,21.12.2015,podání přihlášky
2015-814,21.12.2015,podání žádosti o úplný průzkum
2015-814,28.06.2017,zveřejnění PV
2015-814,18.04.2018,publikace udělení patentu
2015-814,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-876,21.12.2015,podání přihlášky
2015-876,21.12.2015,podání žádosti o úplný průzkum
2015-876,28.06.2017,zveřejnění PV
2015-876,18.04.2018,publikace udělení patentu
2015-876,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-906,21.12.2015,podání přihlášky
2015-906,21.12.2015,podání žádosti o úplný průzkum
2015-906,28.06.2017,zveřejnění PV
2015-906,18.04.2018,publikace udělení patentu
2015-906,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-472,21.12.2015,podání přihlášky
2016-472,21.12.2015,podání žádosti o úplný průzkum
2016-472,28.06.2017,zveřejnění PV
2016-472,18.04.2018,publikace udělení patentu
2016-472,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-780,21.12.2015,podání přihlášky
2016-780,21.12.2015,podání žádosti o úplný průzkum
2016-780,28.06.2017,zveřejnění PV
2016-780,18.04.2018,publikace udělení patentu
2016-780,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-185,21.12.2015,podání přihlášky
2017-185,21.12.2015,podání žádosti o úplný průzkum
2017-185,28.06.2017,zveřejnění PV
2017-185,18.04.2018,publikace udělení patentu
2017-185,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-28,21.12.2015,podání přihlášky
2017-28,21.12.2015,podání žádosti o úplný průzkum
2017-28,28.06.2017,zveřejnění PV
2017-28,18.04.2018,publikace udělení patentu
2017-28,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-558,21.12.2015,podání přihlášky
2017-558,21.12.2015,podání žádosti o úplný průzkum
2017-558,28.06.2017,zveřejnění PV
2017-558,18.04.2018,publikace udělení patentu
2017-558,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-776,21.12.2015,podání přihlášky
2017-776,21.12.2015,podání žádosti o úplný průzkum
2017-776,28.06.2017,zveřejnění PV
2017-776,18.04.2018,publikace udělení patentu
2017-776,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-65,21.12.2015,podání přihlášky
2018-65,21.12.2015,podání žádosti o úplný průzkum
2018-65,28.06.2017,zveřejnění PV
2018-65,18.04.2018,publikace udělení patentu
2018-65,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-670,21.12.2015,podání přihlášky
2018-670,21.12.2015,podání žádosti o úplný průzkum
2018-670,28.06.2017,zveřejnění PV
2018-670,18.04.2018,publikace udělení patentu
2018-670,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-99,21.12.2015,podání přihlášky
2018-99,21.12.2015,podání žádosti o úplný průzkum
2018-99,28.06.2017,zveřejnění PV
2018-99,18.04.2018,publikace udělení patentu
2018-99,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-718,21.12.2015,podání přihlášky
2019-718,21.12.2015,podání žádosti o úplný průzkum
2019-718,28.06.2017,zveřejnění PV
2019-718,18.04.2018,publikace udělení patentu
2019-718,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34255,21.12.2015,podání přihlášky
2017-34255,21.12.2015,podání žádosti o úplný průzkum
2017-34255,28.06.2017,zveřejnění PV
2017-34255,18.04.2018,publikace udělení patentu
2017-34255,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-538,21.12.2015,podání přihlášky
2021-538,21.12.2015,podání žádosti o úplný průzkum
2021-538,28.06.2017,zveřejnění PV
2021-538,18.04.2018,publikace udělení patentu
2021-538,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33979,21.12.2015,podání přihlášky
2017-33979,21.12.2015,podání žádosti o úplný průzkum
2017-33979,28.06.2017,zveřejnění PV
2017-33979,18.04.2018,publikace udělení patentu
2017-33979,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34102,21.12.2015,podání přihlášky
2017-34102,21.12.2015,podání žádosti o úplný průzkum
2017-34102,28.06.2017,zveřejnění PV
2017-34102,18.04.2018,publikace udělení patentu
2017-34102,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34392,21.12.2015,podání přihlášky
2017-34392,21.12.2015,podání žádosti o úplný průzkum
2017-34392,28.06.2017,zveřejnění PV
2017-34392,18.04.2018,publikace udělení patentu
2017-34392,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-322,21.12.2015,podání přihlášky
2014-322,21.12.2015,podání žádosti o úplný průzkum
2014-322,28.06.2017,zveřejnění PV
2014-322,18.04.2018,publikace udělení patentu
2014-322,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-369,21.12.2015,podání přihlášky
2014-369,21.12.2015,podání žádosti o úplný průzkum
2014-369,28.06.2017,zveřejnění PV
2014-369,18.04.2018,publikace udělení patentu
2014-369,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-944,21.12.2015,podání přihlášky
2014-944,21.12.2015,podání žádosti o úplný průzkum
2014-944,28.06.2017,zveřejnění PV
2014-944,18.04.2018,publikace udělení patentu
